step,pop,avg_rep,avg_death,avg_mut
214,476221,0.0400191,0.0199045,0.0399957
215,476242,0.0400195,0.0199043,0.0399955
216,476218,0.0400196,0.019904,0.0399958
217,476290,0.0400195,0.0199036,0.0399956
218,476085,0.0400194,0.0199029,0.0399957
219,476341,0.0400191,0.0199026,0.0399961
220,476501,0.0400194,0.019902,0.0399963
221,476468,0.0400192,0.0199017,0.0399965
222,476530,0.0400189,0.019901,0.0399967
223,476534,0.0400186,0.0199011,0.0399974
224,476608,0.0400186,0.0199009,0.0399979
225,476799,0.040019,0.0199009,0.0399976
226,476792,0.0400189,0.0199008,0.0399973
227,476608,0.0400184,0.0199007,0.0399976
228,476399,0.0400188,0.0199007,0.0399977
229,476475,0.0400188,0.0199007,0.0399972
230,476681,0.0400187,0.0199009,0.0399971
231,476678,0.0400186,0.019901,0.0399973
232,476871,0.0400189,0.0199009,0.0399972
233,476684,0.0400194,0.0199006,0.0399972
234,476602,0.0400192,0.0199004,0.0399968
235,476672,0.0400194,0.0199001,0.0399966
236,476457,0.0400197,0.0198997,0.0399963
237,476710,0.0400195,0.0198996,0.039996
238,476368,0.0400197,0.0198996,0.0399964
239,476213,0.0400202,0.0198998,0.0399964
240,476017,0.0400205,0.0198993,0.0399965
241,476318,0.0400207,0.019899,0.0399963
242,476157,0.0400206,0.0198985,0.0399959
243,476081,0.0400204,0.0198983,0.0399962
244,475967,0.0400203,0.0198979,0.039996
245,475992,0.0400207,0.019898,0.0399962
246,476009,0.0400207,0.019898,0.0399964
247,476139,0.0400206,0.0198979,0.0399963
248,476203,0.0400206,0.0198982,0.0399961
249,476336,0.040021,0.0198981,0.0399962
250,476131,0.0400207,0.0198976,0.0399959
251,476129,0.0400214,0.0198977,0.0399962
252,476131,0.0400216,0.0198978,0.039996
253,476188,0.0400216,0.0198978,0.039996
254,476347,0.040021,0.0198978,0.039996
255,476508,0.0400207,0.019897,0.0399958
256,476614,0.0400209,0.019897,0.0399959
257,476637,0.0400206,0.0198973,0.0399958
258,476512,0.0400203,0.0198974,0.0399957
259,476493,0.0400205,0.0198972,0.0399957
260,476303,0.040021,0.0198969,0.0399959
261,476353,0.0400205,0.0198964,0.0399957
262,476177,0.0400209,0.0198962,0.039996
263,476242,0.0400209,0.0198964,0.0399959
264,476461,0.0400207,0.0198963,0.0399954
265,476214,0.0400209,0.0198962,0.0399951
266,476049,0.0400209,0.0198954,0.0399953
267,476049,0.040021,0.019895,0.0399951
268,475926,0.0400207,0.0198954,0.0399955
269,476241,0.0400211,0.0198957,0.0399958
270,476466,0.0400215,0.019896,0.0399959
271,476521,0.0400214,0.0198962,0.0399965
272,476506,0.0400217,0.0198964,0.0399967
273,476232,0.040022,0.0198959,0.0399964
274,476319,0.0400216,0.0198955,0.0399964
275,476528,0.040022,0.0198955,0.0399964
276,476533,0.040022,0.0198954,0.0399961
277,476371,0.0400217,0.0198957,0.039996
278,476318,0.0400215,0.0198953,0.0399963
279,476410,0.0400223,0.0198954,0.0399967
280,476535,0.0400221,0.0198954,0.0399967
281,476695,0.0400222,0.019895,0.0399973
282,476533,0.0400225,0.0198948,0.0399974
283,476561,0.0400225,0.0198951,0.0399971
284,476381,0.0400223,0.0198952,0.0399972
285,476419,0.0400222,0.0198952,0.0399974
286,476054,0.0400221,0.0198948,0.0399968
287,476167,0.0400221,0.0198949,0.0399964
288,476300,0.0400218,0.0198951,0.0399965
289,476337,0.0400223,0.0198949,0.0399963
290,476296,0.0400223,0.019895,0.0399964
291,476198,0.0400228,0.0198951,0.0399965
292,476231,0.0400232,0.0198949,0.0399962
293,476203,0.040023,0.0198954,0.0399964
294,476250,0.040023,0.0198952,0.0399964
295,476280,0.040023,0.0198952,0.0399968
296,476408,0.0400228,0.0198953,0.0399971
297,476619,0.0400228,0.0198953,0.0399968
298,476491,0.0400223,0.0198957,0.0399968
299,476480,0.0400223,0.0198956,0.0399962
300,476440,0.0400218,0.0198955,0.0399963
301,476558,0.0400218,0.0198952,0.0399965
302,476243,0.0400211,0.0198954,0.0399963
303,476336,0.0400212,0.0198952,0.0399961
304,476409,0.0400211,0.0198949,0.0399962
305,476316,0.0400208,0.0198945,0.0399963
306,476297,0.0400206,0.0198942,0.0399965
307,476442,0.040021,0.0198941,0.0399967
308,476573,0.0400211,0.0198936,0.0399968
309,476610,0.0400206,0.0198935,0.0399965
310,476584,0.0400206,0.0198934,0.0399962
311,476651,0.0400206,0.0198928,0.0399964
312,476475,0.0400205,0.0198926,0.0399965
